Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/CodeSystem-BRHPVInterpretacao.json	1873	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BRIBGE.json	1098	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BRIdentidadeGenero.json	1873	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BRImunobiologico.json	8052	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	28	19	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BRInstalacoesFisicas.json	4548	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BRJustificativaIndividuoNaoIdentificado.json	1856	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BRLocalAfericao.json	1825	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BRLocalAplicacao.json	3147	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BRLocalAtendimento.json	2688	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-BRMedDRA.json	3144	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-BRMedicamento.json	106211	8	0	0	1	0	0	0	4	30	0	0	1	0	0	0	0	1	0	0	289	126	0	0	0	13	0	1
fsh-generated/resources/CodeSystem-BRModalidadeAssistencial.json	1891	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	1	0	0
