URL,Version,Status,OIDs,Name,Title,Description,Used
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,3.0.0,active,"2.16.840.1.113883.5.83",ObservationInterpretation,ObservationInterpretation,"One or more codes providing a rough qualitative interpretation of the observation, such as ""normal"" / ""abnormal"", ""low"" / ""high"", ""better"" / ""worse"", ""resistant"" / ""susceptible"", ""expected"" / ""not expected"". The value set is intended to be for ANY use where coded representation of an interpretation is needed.","ValueSet/BRResultadoQualitativoHPV"
https://mangara.hsl.org.br/fhir/CodeSystem/etnias,1.1.0,active,,BREtniasMangara,BREtniasMangara,"","ValueSet/BREtniaIndigena"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRAlergenosCBARA,1.1.0,active,,BRAlergenosCBARA,BRAlergenosCBARA,"","ValueSet/BRAlergenos"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRAtendimentoPrestado,1.1.0,active,,BRAtendimentoPrestado,BRAtendimentoPrestado,"","ValueSet/BRAtendimentoPrestado"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRBaseLegalLGPD,1.1.0,active,,BRBaseLegalLGPD,BRBaseLegalLGPD,"","ValueSet/BRBaseLegalLGPD"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRCBO,1.1.0,active,,BRCBO,BRCBO,"","ValueSet/BROcupacao"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRCIAP2,1.1.0,active,,BRCIAP2,BRCIAP2,"","ValueSet/BRCIAP2"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRCID10,1.1.0,active,,BRCID10,BRCID10,"","ValueSet/BRTerminologiaSuspeitaDiagnostica,ValueSet/BRProblemaDiagnostico,ValueSet/BRReasonEncounter,ValueSet/BRDeficiencias,ValueSet/BRExameHPV,ValueSet/BRCID10"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRCaraterAtendimento,1.1.0,active,,BRCaraterAtendimento,BRCaraterAtendimento,"","ValueSet/BRCaraterAtendimento"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRCategoriaDiagnostico,1.1.0,active,,BRCategoriaDiagnostico,BRCategoriaDiagnostico,"","ValueSet/BRCategoriaDiagnostico"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRConclusaoColposcopia,1.1.0,active,,BRConclusaoColposcopia,BRConclusaoColposcopia,"","ValueSet/BRConclusaoColposcopia"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRCondicaoAmostra,1.1.0,active,,BRCondicaoAmostra,BRCondicaoAmostra,"","ValueSet/BRCondicaoAmostra"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRCondicaoMaternal,1.1.0,active,,BRCondicaoMaternal,BRCondicaoMaternal,"","ValueSet/BRCondicaoMaternal"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRCondutaTeleconsultoria,1.1.0,active,,BRCondutaTeleconsultoria,BRCondutaTeleconsultoria,"","ValueSet/BRCondutaTeleconsultoria"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRConselhoProfissional,1.1.0,draft,,BRConselhoProfissional,Conselhos profissionais de saúde do Brasil,"Esse CodeSystem inclui os conselhos profissionais de saúde do Brasil, conforme a Resolução CNS 251/1997.","ValueSet/BRCRF,ValueSet/BRCOREN,ValueSet/BRCRM,ValueSet/BRCRO,ValueSet/BROutrosProfissionais"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRDadoAusenteOuDesconhecido,1.1.0,active,,BRDadoAusenteOuDesconhecido,BRDadoAusenteOuDesconhecido,"","ValueSet/BRPrescricaoNaoEstruturada"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRDesfechoProcedimento,1.1.0,active,,BRDesfechoProcedimento,BRDesfechoProcedimento,"","ValueSet/BRDesfechoProcedimento"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRDivisaoGeograficaBrasil,1.1.0,active,,BRDivisaoGeograficaBrasil,BRDivisaoGeograficaBrasil,"","ValueSet/BRUnidadeFederativa,ValueSet/BRMunicipio"
https://terminologia.saude.gov.br/fhir/CodeSystem/BRDose,1.1.0,active,,BRDose,BRDose,"","ValueSet/BRDose"
